DATE,165523,004812,160224,003095,000977,161726,090013,163114,001631,160222,165520,167301,001302
2019-08-23,-0.75%,0.99%,0.06%,3.22%,-0.09%,2.21%,-1.34%,-0.49%,0.68%,0.86%,-0.58%,1.43%,-0.10%
2019-08-26,-0.84%,-1.45%,-1.66%,-0.13%,-0.48%,-0.39%,-0.19%,-1.17%,-1.57%,-1.72%,0.47%,-2.25%,2.42%
2019-08-27,2.96%,2.00%,1.86%,0.39%,1.78%,1.24%,1.94%,1.50%,1.59%,1.67%,1.05%,0.58%,1.42%
2019-08-28,-0.33%,-0.05%,-0.66%,-0.39%,-0.28%,-1.08%,4.18%,-0.07%,0.60%,0.57%,-0.58%,-1.29%,-0.47%
2019-08-29,0.82%,-0.44%,0.12%,-0.26%,0.50%,-0.52%,-0.55%,-0.39%,0.42%,0.68%,0.35%,-0.65%,3.27%
2019-08-30,-1.14%,-0.31%,-1.17%,0.65%,-0.41%,-0.08%,-1.56%,-1.15%,1.53%,1.81%,-0.23%,0.37%,-1.09%
2019-09-02,4.05%,2.11%,2.95%,1.82%,2.75%,1.95%,0.84%,2.17%,0.26%,0.15%,0.93%,0.66%,0.09%
2019-09-03,1.27%,0.53%,2.14%,-0.51%,0.39%,-0.96%,1.11%,0.79%,-0.46%,-0.41%,0.00%,-0.07%,0.55%
2019-09-04,0.94%,-0.10%,0.65%,-0.13%,0.72%,-0.03%,-0.64%,0.78%,-0.83%,-0.97%,1.50%,1.23%,0.45%
2019-09-05,1.79%,0.21%,1.54%,-0.71%,0.82%,0.07%,0.83%,0.57%,0.50%,0.63%,1.02%,1.29%,0.54%
2019-09-06,1.07%,-0.19%,1.18%,0.65%,-0.13%,1.68%,-1.46%,0.42%,0.05%,0.09%,-1.35%,1.06%,-3.87%
2019-09-09,4.31%,1.82%,3.74%,0.32%,1.14%,1.25%,2.13%,2.30%,0.24%,0.12%,1.14%,-0.35%,0.94%
